0.0,1798.97,1680.62,1627.37,2896.42,3792.54,2537.57,1787.23,1065.75,1104.38
1803.92,0.0,3364.49,3278.16,4519.82,4706.07,4221.44,3455.46,2717.48,2788.25
1794.51,3340.35,0.0,626.93,1746.16,3114.69,1406.62,331.53,1138.8,1118.01
1635.69,3268.96,592.32,0.0,2158.64,3358.24,1768.06,409.84,1226.39,952.05
2946.83,4523.13,1763.26,2128.43,0.0,2726.87,1279.32,1877.07,2291.13,2270.33
3845.28,4646.41,3112.48,3347.35,2792.76,0.0,2192.76,3095.99,3144.25,3168.78
2555.91,4201.75,1427.56,1737.51,1327.51,2212.06,0.0,1486.14,1855.87,1879.41
1779.47,3416.69,335.26,459.48,1909.06,3108.66,1518.49,0.0,1145.77,1077.12
1136.2,2716.85,1130.44,1324.39,2346.24,3128.98,1972.49,1170.42,0.0,572.13
1143.0,2788.84,1123.92,992.05,2339.72,3235.85,1980.87,1123.66,540.74,0.0
