0.0,28454.73,32493.85,20720.41,53441.47,65175.58,43309.96,23689.74,12820.28,13600.13
28687.05,0.0,57706.71,48437.68,96671.39,66692.05,68522.83,66046.28,38004.54,38812.99
32196.74,70970.84,0.0,6555.56,29353.06,51847.2,19324.93,4175.31,18532.64,19467.37
21009.47,50994.91,5920.78,0.0,33808.17,45831.28,21293.7,4117.12,12823.4,9248.61
54052.98,96285.52,29416.92,33605.34,0.0,44380.7,17861.87,30994.16,40388.88,41323.61
65377.94,66515.94,53807.71,45814.56,44545.02,0.0,30422.21,43203.38,41142.02,52648.57
43696.36,71181.31,19423.56,23248.71,17988.67,30515.56,0.0,20637.54,26131.82,30966.99
24079.16,64857.53,4219.79,4777.82,31209.77,43232.88,18695.29,0.0,12834.25,11251.1
13264.71,37777.73,19824.44,13129.78,40772.07,40969.11,26920.78,12967.27,0.0,3787.51
13803.44,41288.39,20790.46,9256.81,41738.09,53472.2,31606.58,11277.62,3631.82,0.0
